Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
20/20 Eyecare,"9553 Fields Ertel Road, Loveland, OH 45140",Loveland,OH,45140,No,Yes,No,2026-08-08T12:34:16+00:00,2026-09-02T15:47:33+00:00,+15138486699,2020eyecareoh.com,Alex Gibberman; David Williams,f6ea1400-871b-480c-a63e-cf20614ab4ac
Carolina Vision Center,"2047 Valleygate Drive, Fayetteville, NC 28304",Fayetteville,NC,28304,Yes,No,No,2026-07-14T02:12:15.966Z,2026-08-14T12:51:38+00:00,+19106316261,,Michael Woodcock,e5559ee2-b69f-47da-a170-5d263c4b0f26
Danville Eye Center,"104 Smoky Way 
#100, Danville, KY 40422",Danville,KY,40422,No,Yes,No,2026-07-14T02:12:15.966Z,2026-08-26T12:38:49+00:00,+18593950952,https://www.danvilleeyecenter.com,Mike Smith,dd1ca571-1b76-4d3d-a467-f539f9e24a19
EyeCare Associates,"8436 Vaughn Road, Montgomery, AL 36117",Montgomery,AL,36117,No,Yes,No,2026-08-06T13:50:19+00:00,2026-09-22T16:05:24+00:00,+13344233651,https://www.webeca.com/,"Benjamin Harris; Frederick ""Rick"" Jackson",5fe5f676-3ac5-4f77-aad8-b5d357a2cd06
Kirkwood Eye Associates,"200 South Kirkwood Road, Kirkwood, MO 63122",Kirkwood,MO,63122,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13144611661,kirkwoodeye.com,Andrew Biondo; Jessica TU OD,0d12550d-2052-4875-992c-fac72e717064
Ophthalmology Associates,"12990 Manchester Rd / Suite 200, Des Peres, MO 63131",Des Peres,MO,63131,No,Yes,No,2026-07-14T02:12:15.966Z,2026-09-25T16:18:37+00:00,+13148501245,https://www.youreyedoc.com/locations/ophthalmology-associates/?utm_source=gmb&utm_medium=yext,Gregg Berdy MD; Ranjan Malhotra MD; Robert Brusatti; Andrew Royer,a5ccd6e4-67ac-402c-ad90-fd1c379b1cdb
Ophthalmology Consultants,"12990 Manchester Road / Suite 201, St Louis, MO 63131",St Louis,MO,63131,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-08T15:49:00+00:00,+13143505150,,Steven Lee MD; Erin Sullivan; Michelle Derheimer; Joseph Gira,6130f387-d5ed-4081-bfe1-f2ac54527706
Spectrum Optical - Bridgeport Location,"45 Professional Place
Suite 200, Bridgeport, WV 26330",Bridgeport,WV,26330,No,Yes,No,2026-07-14T02:12:15.966Z,2026-09-19T15:10:28+00:00,+13048234472,www.spectrumoptical.com,Tyler Kerr OD; Cynthia Zwolensky OD,4c722939-9d81-47d0-b105-d2aaa5e20fc0
Visionary Eye Clinic,"1600 Grand Central Avenue, Vienna, WV 26105",Vienna,WV,26105,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-31T18:35:54+00:00,+13043375930,,Kayla Campbell OD; Katie Palmer OD,2aab9f86-3061-4a89-b5d6-46fdfee9273c
WV Eye Consultants,"501 Summers Street, Charleston, WV 25301",Charleston,WV,25301,No,Yes,No,2026-09-02T15:47:33+00:00,2026-09-22T16:05:24+00:00,+13048988992,https://www.wv-eye.com/,Steven Potwin OD,63eedb97-8bca-49fb-8716-9259082b4535
