Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
20/20 Eyecare,"9553 Fields Ertel Road, Loveland, OH 45140",Loveland,OH,45140,No,Yes,No,2026-08-08T12:34:16+00:00,2026-09-02T15:47:33+00:00,+15138486699,2020eyecareoh.com,Alex Gibberman; David Williams,f6ea1400-871b-480c-a63e-cf20614ab4ac
Appalachian Eye Care,"3082 Robert C Byrd Drive, Beckley, WV 25801",Beckley,WV,25801,No,Yes,No,2026-08-29T16:02:50+00:00,2026-09-11T15:41:27+00:00,+13049244230,,"Brad Lane OD, MBA, Med; Misty Lane OD; McKenzie Bright OD",fc4ed793-ebc7-4e00-9224-045e84c84ec4
Appalachian Eye Care,"324 Oakvale Road
Suite 100, Princeton, WV 24740",Princeton,WV,24740,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-11T15:41:27+00:00,+13043816203,,"Brad Lane OD, MBA, Med; Christopher Hansen OD; Misty Lane OD; Amanda Sarver OD; McKenzie Bright OD; Blake Hopkins OD",3d0eff50-72dc-4578-9d62-ae61d98b99b9
Carolina Vision Care,"1804 West Arlington Boulevard, Greenville, NC 27834",Greenville,NC,27834,No,Yes,No,2026-07-28T13:49:51+00:00,2026-08-04T13:55:18+00:00,+12523583330,www.carolinavisioncare.com,Scott McIntosh OD; Thomas McIntosh OD; Lady B. Aycock OD,b4b695bc-589a-4037-8264-63ab49c650b9
Carolina Vision Center,"2047 Valleygate Drive, Fayetteville, NC 28304",Fayetteville,NC,28304,Yes,No,No,2026-07-14T02:12:15.966Z,2026-08-14T12:51:38+00:00,+19106316261,,Michael Woodcock,e5559ee2-b69f-47da-a170-5d263c4b0f26
Charlotte Contact Lens Institute,"5950 Fairview Road STE 708, Charlotte, NC 28210",Charlotte,NC,28210,No,Yes,No,2026-07-14T02:12:15.966Z,2026-08-07T12:48:18+00:00,+15713909402,www.charlottecontactlens.com,Aerial Cerenzie; Heather Cipperly,614a7d51-f2c4-4443-9994-981843fde66f
Chicago Arbor Eye Institute,"836 West Wellington Avenue, Chicago, IL 60657",Chicago,IL,60657,No,Yes,No,2026-09-09T15:44:51+00:00,2026-09-09T15:44:51+00:00,+17738253562,,Jennifer Pyle; Allison Gottlieb,d6228f16-a087-48d0-872c-cf1109976ac3
Clemmons Family Eye Care,"6301 Stadium Drive, Clemmons, NC 27012",Clemmons,NC,27012,No,Yes,No,2026-08-16T12:25:42+00:00,2026-09-05T14:23:11+00:00,+13368279967,www.clemmonsfamilyeyecare.com,Tyler Groce,0cb4d713-6e72-404c-89d4-ee70fb0dfceb
Clinton Eye Associates,"116 E Main ST, Clinton, CT 06413",Clinton,CT,06413,No,Yes,No,2026-08-28T21:38:28+00:00,2026-09-08T15:49:00+00:00,+18606153787,https://www.clintoneye.com,,a1f929c0-ae7e-49d0-81ba-7a535ad43626
Compton & Compton Eye Care,"1111 Nashville Road, Franklin, KY 42134",Franklin,KY,42134,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-26T12:38:49+00:00,+12706828474,https://visionsource-fseyecare.com/,Alex Compton OD; Steve Compton,b767ecd4-1514-41cb-add4-82ffaa4cd7ae
