Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Atrium Health Wake Forest Baptist Ophthalmology,"1565 North University Parkway, High Point, NC 27262",High Point,NC,27262,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+13367423071,https://www.wakehealth.edu/locations/clinics/o/ophthalmology-oak-hollow,Jennifer Barger MD,723562b1-2ea2-4c8b-a388-bd60a0a7d28c
Clemson Eye,"USE 360 Pelham Road address, Greenville, SC 29607",Greenville,SC,29607,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+18645280461,,Matthew Stolz,59c44156-4fa8-4633-ab59-5e6833e55dd3
Decatur Family Eye Care,"2026 6th Avenue Southeast, Decatur, AL 35601",Decatur,AL,35601,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+12567412042,decaturfamilyeyecare.com,Jonathan Davis,0ce1c5ef-5375-4014-8565-5e1faae05d2e
Friedrichs Family Eye Center,"32 Main Street, Chatham, VA 24531",Chatham,VA,24531,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+15405016195,https://www.friedrichsfamilyeyecenter.com/,"Peyton Simpson OD, FAAO; Mary Kathryn Zak OD; Michael Jennings OD; Michael Ford OD, FAAO; Gray Friedrichs OD; Jill Christian-Friedrichs OD",70931ce2-7ef7-4ad6-8226-f07a5cefb91c
Friedrichs Family Eye Center,"395 South Main Street, Rocky Mount, VA 24151",Rocky Mount,VA,24151,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+15405163257,https://www.friedrichsfamilyeyecenter.com/,"Peyton Simpson OD, FAAO; Mary Kathryn Zak OD; Michael Jennings OD; Michael Ford OD, FAAO; Gray Friedrichs OD; Casey Ramirez Cortes OD; Jill Christian-Friedrichs OD",0ccb39fa-0931-464e-9724-6d97cb3418e7
Georgia Eye Associates - Braselton,"1735 Friendship Road, Braselton, GA 30517",Braselton,GA,30517,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+17067603956,,Ye Ji Kim,ff9b60bd-5896-41c7-9a1d-81836fde6db7
Georgia Ophthalmologists,"4159 Mill St NE, Covington, GA 30014",Covington,GA,30014,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+12524215210,http://georgiavisioncare.com/georgia-ophthalmologists-eye-doctor-services/lasik-surgery-georgia-ophthalmologists/,Kelly Cleary; Claire Vinson,a32db012-e8a7-4b74-9855-6cb265ddf6e2
Lifetime Optometry,"1400 West 6th Street Suite 101, Corona, CA 92882",Corona,CA,92882,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+19516483514,https://lifetimeoptometrycorona.com/,,4f014a4f-fb81-4cdf-98c4-f3af08d2a744
Marietta Eye Clinic/Cumming,"2860 Ronald Reagan Boulevard, Cumming, GA 30041",Cumming,GA,30041,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+17405094785,mariettaeye.com,Cara Robison,343dfbab-f005-4a63-811f-60f2c5e2a98c
McKnight Eye Centers Hunkeler South,"7950 College Boulevard, Overland Park, KS 66210",Overland Park,KS,66210,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+19134235483,,Dustin McKnight; Ann Eylar OD,7525699d-5101-4213-8371-e3ef30a3f1da
MyEyeDr. / AL-Decatur,"823 6th Avenue Southeast, Decatur, AL 35601",Decatur,AL,35601,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+12566954798,myeyedr.com,Chris Teichmiller,2a3ce1f2-a469-4d27-887f-c5a08fa63d7e
Nashville Eye Group,"5429 Edmondson Pike, Nashville, TN 37211",Nashville,TN,37211,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+13187053169,nashvilleeyegroup.com,Marianne Johnson; Ashlee Henderson; C. Wade Hyatt; Dale Martin,d43f0327-737f-42b7-9797-87a2baa63272
Oman Eye Care,"100 West Cornwallis Drive Unit J, Greensboro, NC 27408",Greensboro,NC,27408,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+13364399959,https://www.omaneyecare.com/,Heather Oman OD; Joel Woods OD,16a2bd74-ef8c-46f4-95f2-8d62c8ce0b71
Specialty Eye - Adrian,"770 Riverside Avenue, Adrian, MI 49221",Adrian,MI,49221,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+19853153943,,,f7450b81-bae1-4623-a939-87ec24c7e02d
Specialty Eye - Ann Arbor,"2350 East Stadium Boulevard, Ann Arbor, MI 48104",Ann Arbor,MI,48104,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+15732628878,,,17491e93-d66a-4f6f-b23a-ca8dfe6c1537
Specialty Eye - Bryan,"442 West High Street, Bryan, OH 43506",Bryan,OH,43506,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+12565784937,,,cefbdf7a-8d1b-4861-8c9a-467065e1a427
Specialty Eye - Toledo,"3439 Hill Avenue, Toledo, OH 43607",Toledo,OH,43607,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+12298140947,,,f37ebec4-a2a5-430e-ad44-5df163ee42d5
Thomas Eye Group/Lithonia,"6000 Hillandale Drive, Lithonia, GA 30058",Lithonia,GA,30058,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+16789404702,thomaseye.com,Soojung Lee,d2b1e7fa-a74f-4bab-b26c-b3e2e40a0311
Urban Optics Optometric Center,"1114 State Street, Santa Barbara, CA 93101",Santa Barbara,CA,93101,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+18057793973,urbanopticseye.com,,c8440682-283b-4f04-bd71-9d81bf6fa509
Virginia Eyecare Center,"9314 Old Keene Mill Road, Burke, VA 22015",Burke,VA,22015,No,Yes,Yes,2026-09-17T16:02:09+00:00,2026-09-17T16:02:09+00:00,+14246553009,https://visionsource-virginiaeyecare.com/,,83d89b8c-caa9-4cc8-bb98-19d1929ea84f
