Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
20/20 Eyecare,"9553 Fields Ertel Road, Loveland, OH 45140",Loveland,OH,45140,No,Yes,No,2026-08-08T12:34:16+00:00,2026-08-09T12:37:07+00:00,+15138486699,2020eyecareoh.com,Alex Gibberman; David Williams,f6ea1400-871b-480c-a63e-cf20614ab4ac
Boston Vision,"25 Marston Street
Marston Medical Building Suite 104, Lawrence, MA 01841",Lawrence,MA,01841,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-03T14:25:18+00:00,+19377525492,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Alexander Martin OD,7e1a4622-6fec-4c38-9740-1a7949dbb98f
Bright Eyes Optical New Rochelle,"177 B East Main Street, New Rochelle, NY 10801",New Rochelle,NY,10801,No,Yes,No,2026-07-23T00:58:32+00:00,2026-08-04T13:55:18+00:00,+19145439989,www.brighteyesny.com,Sumati Deutscher,14c3edce-0d06-491d-95aa-b754c7596325
Carolina Vision Care,"1804 West Arlington Boulevard, Greenville, NC 27834",Greenville,NC,27834,No,Yes,No,2026-07-28T13:49:51+00:00,2026-08-04T13:55:18+00:00,+12523583330,www.carolinavisioncare.com,Scott McIntosh OD; Thomas McIntosh OD; Lady B. Aycock OD,b4b695bc-589a-4037-8264-63ab49c650b9
Charlotte Contact Lens Institute,"5950 Fairview Road STE 708, Charlotte, NC 28210",Charlotte,NC,28210,No,Yes,No,2026-07-14T02:12:15.966Z,2026-08-07T12:48:18+00:00,+15713909402,www.charlottecontactlens.com,Aerial Cerenzie; Heather Cipperly,614a7d51-f2c4-4443-9994-981843fde66f
Graystone Eye,"2640 North Carolina 105, Boone, NC 28607",Boone,NC,28607,No,Yes,No,2026-08-02T13:06:35+00:00,2026-08-03T14:25:18+00:00,+15074458153,graystone-eye.com,Kayli Standridge,b26df1c1-26ef-4b27-b9d8-7b169187c5ce
Horvath Vision Care Northwoods,"180 Northwoods Boulevard, Columbus, OH 43235",Columbus,OH,43235,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-23T02:10:23+00:00,+18158814070,horvathvisionnorthwoods.com,Rebecca Lugar; Breanna Williams; Lara Leach; Katie Simonovich; Wasim Sleiman; Jamie Horvath; Mark Horvath,d8cf34c2-8ce1-4779-a532-c211d5d4d3c6
Michigan Eye Institute - Lake Orion,"1240 South Lapeer Road, Orion Township, MI 48360",Orion Township,MI,48360,No,Yes,No,2026-08-01T13:05:04+00:00,2026-08-01T13:05:04+00:00,+12489650396,https://mieye.com/lake-orion/,,43996f7e-00cc-4dc7-b631-b321f6d0b7cb
Normandy Optical - Rochester,"137 South Livernois Road, Rochester Hills, MI 483071837",Rochester Hills,MI,483071837,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-29T13:54:58+00:00,+19129152663,https://www.normandyoptical.com/locations/rochester-hills,,659e088d-0fb5-4075-8576-cce22a27f0c3
Professional Vision Care- Westerville,"185 South State Street, Westerville, OH 43081",Westerville,OH,43081,No,Yes,No,2026-08-09T12:37:07+00:00,2026-08-11T12:49:25+00:00,+16148812384,https://www.professionalvisioncareinc.com/hours-directions/westerville/,Bradley Johnson; Derek Eibon; Jennifer Aschenbener,7ed7bd85-469b-4ea2-9ea0-a3e0dd4d4bd3
Spectrum Optical - Bridgeport Location,"45 Professional Place
Suite 200, Bridgeport, WV 26330",Bridgeport,WV,26330,No,Yes,No,2026-07-14T02:12:15.966Z,2026-08-06T13:50:19+00:00,+13048234472,www.spectrumoptical.com,Tyler Kerr OD; Cynthia Zwolensky OD,4c722939-9d81-47d0-b105-d2aaa5e20fc0
Tulman Eye Group,"880 Crestmark Drive, Lithia Springs, GA 30122",Lithia Springs,GA,30122,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-02T13:06:35+00:00,+16206302406,https://visionsource-tulmaneyegroup.com/,Bryan Truong; Mehrdad Saadat,cc318f2b-70f0-43ea-a8cc-52acb6d55583
Washington Eye Doctors,"5454 Wisconsin Avenue, Chevy Chase, MD 20815",Chevy Chase,MD,20815,No,Yes,No,2026-08-01T13:05:04+00:00,2026-08-10T12:53:51+00:00,+12605303652,https://www.washingtoneyedoctors.com/chevy-chase-eye-doctor/?utm_source=OffSite&utm_medium=GMB,,e3959d6f-f4bd-4c68-9aa5-d9f9b13ba35a
