Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Appalachian Eye Care,"324 Oakvale Road
Suite 100, Princeton, WV 24740",Princeton,WV,24740,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13043816203,,"Brad Lane OD, MBA, Med; Christopher Hansen OD; Misty Lane OD; Amanda Sarver OD; McKenzie Bright OD; Blake Hopkins OD",3d0eff50-72dc-4578-9d62-ae61d98b99b9
Clemson Eye,"22995 U.S. 76, Clinton, SC 29325",Clinton,SC,29325,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+18645489459,,Matthew Stolz,8c852a81-9fea-4184-842a-6a094c9ad6f5
Five Points Eyecare,"698 South Milledge Avenue, Athens, GA 30605",Athens,GA,30605,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+17065285353,fivepointseyecare.com,Nadine Humen Forche,bc201267-26a1-4267-b2b2-66a044fab7c9
Friedrichs Family Eye Center,"1975 Virginia Avenue, Martinsville, VA 24112",Martinsville,VA,24112,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+12762657224,www.friedrichsfamilyeyecenter.com,"Peyton Simpson OD, FAAO; Gray Friedrichs OD; Casey Ramirez Cortes OD; Jill Christian-Friedrichs OD",4aa4b9ad-a50b-4fc1-8ecf-336579d05c60
Hill Vision Services,"12601 Olive Blvd, Creve Coeur, MO 63141",Creve Coeur,MO,63141,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13149483943,http://www.hillvisionservices.com/services/cornea-services/corneal-transplant-surgery/,Goeffery Hill; Timothy Blankenship OD,c0c1b01b-1f74-43b6-ba2f-3efc659d8909
Idaho Eye and Laser Center,"2025 E 17th St., Idaho Falls, ID 83404",Idaho Falls,ID,83404,Yes,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+12082719374,,Shane Wynn; Bradley Gardner M.D.; Spencer Harris MD; Kurt Hepworth,9fa28ace-4e73-4b44-ac83-f77f735e4ada
Idaho Eye and Laser Center,"426 Parkview Loop East, Twin Falls, ID 83301",Twin Falls,ID,83301,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+12089238324,,Bradley Gardner M.D.; Spencer Harris MD; James Davis,50e28b7e-e758-4a9c-a37c-8fe26d13fd50
Kirkwood Eye Associates,"200 South Kirkwood Road, Kirkwood, MO 63122",Kirkwood,MO,63122,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13144611661,kirkwoodeye.com,Andrew Biondo; Jessica TU OD,0d12550d-2052-4875-992c-fac72e717064
Lake Vision Optometry,"25321 Railroad Canyon Road #503, Lake Elsinore, CA 92532",Lake Elsinore,CA,92532,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19517203234,https://www.lakevisionoptometry.com/,,dac01437-691d-45f7-bd20-123592947c65
Look Optometric,"17400 Irvine Boulevard Suite N, Tustin, CA 92780",Tustin,CA,92780,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+17147108853,https://www.lookoptometric.com/,,c60afcb2-5c5b-44f0-ba8c-8b30bd6de6c6
